timestamp,open,high,low,close,volume
2025-05-27 04:00:00,198.0200,199.5000,197.9200,199.1600,4567
2025-05-27 04:01:00,199.2300,199.2800,199.0000,199.1900,5121
2025-05-27 04:02:00,199.2300,199.2600,199.0200,199.0200,1532
2025-05-27 04:03:00,199.0100,199.0100,199.0100,199.0100,278
2025-05-27 04:04:00,199.0800,199.1100,199.0200,199.1100,908
2025-05-27 04:05:00,199.0900,199.1000,199.0900,199.1000,1099
2025-05-27 04:06:00,199.1100,199.3500,199.1000,199.3500,1899
2025-05-27 04:07:00,199.4300,199.4300,199.4300,199.4300,102
2025-05-27 04:08:00,199.4700,199.6700,199.4700,199.6000,3664
2025-05-27 04:09:00,199.5500,199.6000,199.5500,199.5900,2387
2025-05-27 04:10:00,199.5700,199.5900,199.5300,199.5700,1900
2025-05-27 04:11:00,199.5600,199.5900,199.4700,199.5000,3250
2025-05-27 04:12:00,199.4200,199.5000,199.4200,199.5000,500
2025-05-27 04:13:00,199.5100,199.5100,199.5000,199.5000,505
2025-05-27 04:14:00,199.4500,199.4500,199.4300,199.4300,894
2025-05-27 04:15:00,199.3300,199.3600,199.3000,199.3600,850
2025-05-27 04:16:00,199.3700,199.4000,199.3700,199.4000,279
2025-05-27 04:17:00,199.5000,199.5000,199.5000,199.5000,726
2025-05-27 04:18:00,199.4000,199.4200,199.3400,199.3400,967
2025-05-27 04:20:00,199.4100,199.4100,199.3100,199.3100,500
2025-05-27 04:21:00,199.3400,199.3900,199.3400,199.3900,596
2025-05-27 04:22:00,199.4300,199.4300,199.4300,199.4300,100
2025-05-27 04:23:00,199.4000,199.4000,199.4000,199.4000,198
2025-05-27 04:24:00,199.2000,199.2000,199.1500,199.1500,800
2025-05-27 04:25:00,199.2100,199.2100,199.1700,199.1700,895
2025-05-27 04:26:00,199.1700,199.1700,199.1200,199.1200,1573
2025-05-27 04:27:00,199.2700,199.2700,199.2400,199.2400,620
2025-05-27 04:28:00,199.3000,199.3000,199.2800,199.2800,1194
2025-05-27 04:29:00,199.2200,199.2200,199.2200,199.2200,619
2025-05-27 04:30:00,199.2000,199.2000,199.2000,199.2000,200
2025-05-27 04:31:00,199.2000,199.2000,199.1200,199.1300,630
2025-05-27 04:33:00,199.2200,199.2200,199.1700,199.1700,304
2025-05-27 04:34:00,199.1600,199.1600,199.1100,199.1200,2140
2025-05-27 04:35:00,199.1200,199.1200,199.0500,199.0500,1564
2025-05-27 04:36:00,199.0500,199.0500,198.9500,198.9500,3767
2025-05-27 04:37:00,198.9500,198.9500,198.9400,198.9400,305
2025-05-27 04:38:00,199.0300,199.0300,199.0300,199.0300,230
2025-05-27 04:39:00,199.0900,199.0900,199.0900,199.0900,100
2025-05-27 04:40:00,199.0600,199.0800,199.0600,199.0800,385
2025-05-27 04:41:00,199.0900,199.0900,199.0900,199.0900,102
2025-05-27 04:42:00,199.0900,199.1700,199.0900,199.1700,1464
2025-05-27 04:43:00,199.2000,199.2200,199.2000,199.2000,593
2025-05-27 04:44:00,199.2300,199.2300,199.2300,199.2300,255
2025-05-27 04:45:00,199.2300,199.2400,199.2300,199.2400,200
2025-05-27 04:46:00,199.2100,199.2100,199.2100,199.2100,100
2025-05-27 04:47:00,199.1700,199.1700,199.1300,199.1300,380
2025-05-27 04:48:00,199.0500,199.0500,199.0500,199.0500,854
2025-05-27 04:49:00,199.0200,199.0700,199.0200,199.0200,410
2025-05-27 04:50:00,198.9600,198.9800,198.9100,198.9200,1847
2025-05-27 04:51:00,198.9700,198.9700,198.9700,198.9700,100
2025-05-27 04:52:00,199.0400,199.0400,199.0400,199.0400,100
2025-05-27 04:53:00,199.0700,199.0900,199.0700,199.0900,302
2025-05-27 04:54:00,199.0400,199.0400,199.0200,199.0200,200
2025-05-27 04:55:00,199.0800,199.1000,199.0800,199.0900,350
2025-05-27 05:01:00,199.0500,199.0500,199.0500,199.0500,374
2025-05-27 05:02:00,199.0900,199.2500,199.0900,199.2500,1039
2025-05-27 05:03:00,199.2000,199.2000,199.2000,199.2000,277
2025-05-27 05:04:00,199.1800,199.1800,199.1800,199.1800,100
2025-05-27 05:05:00,199.2200,199.2200,199.2200,199.2200,300
2025-05-27 05:06:00,199.2200,199.2200,199.2200,199.2200,100
2025-05-27 05:07:00,199.2200,199.2200,199.2200,199.2200,574
2025-05-27 05:12:00,199.3800,199.3800,199.3800,199.3800,230
2025-05-27 05:13:00,199.3700,199.3800,199.3700,199.3700,638
2025-05-27 05:15:00,199.2700,199.2700,199.2700,199.2700,100
2025-05-27 05:17:00,199.2300,199.2300,199.2300,199.2300,100
2025-05-27 05:18:00,199.2400,199.2400,199.2400,199.2400,250
2025-05-27 05:20:00,199.1900,199.1900,199.1900,199.1900,298
2025-05-27 05:23:00,199.2100,199.2100,199.2100,199.2100,200
2025-05-27 05:25:00,199.1300,199.1300,199.1300,199.1300,100
2025-05-27 05:27:00,199.1500,199.1600,199.1500,199.1600,450
2025-05-27 05:30:00,199.0900,199.0900,199.0900,199.0900,100
2025-05-27 05:32:00,199.0800,199.1300,199.0800,199.1300,430
2025-05-27 05:33:00,199.1300,199.1500,199.1300,199.1500,745
2025-05-27 05:34:00,199.2000,199.2000,199.2000,199.2000,203
2025-05-27 05:35:00,199.2400,199.2400,199.2400,199.2400,300
2025-05-27 05:37:00,199.2000,199.2000,199.1500,199.1500,1434
2025-05-27 05:39:00,199.2000,199.2000,199.1700,199.1700,390
2025-05-27 05:40:00,199.2000,199.2000,199.2000,199.2000,200
2025-05-27 05:41:00,199.2300,199.2300,199.2000,199.2000,308
2025-05-27 05:42:00,199.1700,199.1700,199.1700,199.1700,400
2025-05-27 05:45:00,199.2100,199.2100,199.1600,199.1600,279
2025-05-27 05:46:00,199.1600,199.1600,199.1600,199.1600,1566
2025-05-27 05:51:00,199.0700,199.0700,199.0700,199.0700,100
2025-05-27 05:52:00,199.1000,199.1400,199.1000,199.1400,614
2025-05-27 05:55:00,199.0800,199.0800,199.0800,199.0800,250
2025-05-27 05:57:00,199.0700,199.0700,199.0700,199.0700,104
2025-05-27 05:58:00,199.0600,199.0600,199.0600,199.0600,374
2025-05-27 06:00:00,199.0400,199.0400,199.0400,199.0400,100
2025-05-27 06:01:00,199.0600,199.0600,199.0100,199.0100,2102
2025-05-27 06:02:00,199.0000,199.0000,198.9400,198.9400,2788
2025-05-27 06:05:00,198.9900,199.0000,198.9900,198.9900,1001
2025-05-27 06:06:00,198.9900,198.9900,198.9500,198.9500,314
2025-05-27 06:07:00,198.9500,198.9500,198.9500,198.9500,200
2025-05-27 06:11:00,198.9500,198.9500,198.9500,198.9500,794
2025-05-27 06:12:00,198.9000,198.9000,198.8500,198.8500,202
2025-05-27 06:14:00,198.9000,198.9000,198.9000,198.9000,400
2025-05-27 06:15:00,198.9500,198.9800,198.9500,198.9800,200
2025-05-27 06:17:00,198.9200,198.9700,198.9200,198.9700,463
2025-05-27 06:21:00,198.9000,198.9000,198.6000,198.8100,3509
2025-05-27 06:23:00,198.8200,198.8200,198.8200,198.8200,100
2025-05-27 06:24:00,198.8100,198.8100,198.8100,198.8100,100
2025-05-27 06:25:00,198.8800,198.8800,198.8800,198.8800,100
2025-05-27 06:26:00,198.9500,198.9500,198.9500,198.9500,100
2025-05-27 06:27:00,198.9700,199.0000,198.9700,199.0000,2626
2025-05-27 06:28:00,199.0600,199.0600,199.0600,199.0600,1028
2025-05-27 06:30:00,199.1500,199.1500,199.0000,199.0000,850
2025-05-27 06:31:00,198.9700,198.9700,198.8300,198.8300,1408
2025-05-27 06:32:00,199.0000,199.0000,199.0000,199.0000,291
2025-05-27 06:36:00,199.0900,199.0900,199.0800,199.0800,291
2025-05-27 06:37:00,199.0800,199.0800,199.0800,199.0800,294
2025-05-27 06:38:00,199.0600,199.0600,199.0600,199.0600,142
2025-05-27 06:39:00,199.0700,199.2000,199.0700,199.2000,2738
2025-05-27 06:40:00,199.0800,199.0800,199.0500,199.0500,681
2025-05-27 06:41:00,198.9600,199.0000,198.9600,199.0000,610
2025-05-27 06:42:00,198.8600,198.8600,198.8600,198.8600,200
2025-05-27 06:43:00,198.9700,198.9700,198.9700,198.9700,110
2025-05-27 06:44:00,199.0600,199.0600,199.0600,199.0600,266
2025-05-27 06:47:00,198.9100,198.9200,198.9000,198.9000,1055
2025-05-27 06:48:00,198.9100,198.9100,198.9100,198.9100,100
2025-05-27 06:49:00,198.9000,198.9000,198.8800,198.8800,831
2025-05-27 06:50:00,198.8100,198.8100,198.8100,198.8100,974
2025-05-27 06:52:00,198.8500,198.8500,198.8500,198.8500,250
2025-05-27 06:55:00,198.8100,198.8100,198.8000,198.8000,512
2025-05-27 06:56:00,198.8100,198.8100,198.8100,198.8100,105
